Nem;Stílus;Csoport;Gyakorlat;Súlycsoport;Név;Egyesület;Születési év;Testsúly;Eredmény;Dátum;Helyszín;Verseny
Férfi;EQ;Masters 2;Guggolás;120+kg;Szolnoki Béla;Gyulai Atlas SE;1969;123,90;270,0;2019.04.06-07;Székesfehérvár;II.o. Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Fekvenyomás;-59kg;alaprekord;;;;90,0;2011.01.01;;
Férfi;EQ;Masters 2;Fekvenyomás;-66kg;alaprekord;;;;100,0;2011.01.01;;
Férfi;EQ;Masters 2;Fekvenyomás;-74kg;Orosz László;Bátor Fitt Erőemelő Klub;1969;70,90;127,5;2019.03.05-10;Győr;Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Fekvenyomás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;140,0;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Fekvenyomás;-93kg;Bársony Attila;Sugó Power SE;1966;91,10;200,0;2017.10.14-15;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Fekvenyomás;-105kg;Bársony Attila;Sugó Power SE;1966;93,31;195,0;2018.10.27-28;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Fekvenyomás;-120kg;Mamedov Iaman;Uralsport;1960;106,35;180,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Fekvenyomás;120+kg;Bodnár István;Orosházi Toldi SE;1965;165,10;190,0;2015.10.24;Győrszentiván;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Felhúzás;-59kg;Görög László;Mérk Kinizsi SE;1963;57,65;152,5;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Felhúzás;-66kg;alaprekord;;;;160,0;2011.01.01;;
Férfi;EQ;Masters 2;Felhúzás;-74kg;Orosz László;Bátor Fitt Erőemelő Klub;1969;70,90;205,0;2019.03.05-10;Győr;Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Felhúzás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;277,5;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 2;Felhúzás;-93kg;Ficzere Tamás;Sirius Lifting SE;1970;85,60;242,5;2020.09.12-13;Szombathely;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Felhúzás;-105kg;Standinger István;Flex SE;1950;104,50;250,5;2013.09.29;Tab;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Felhúzás;-120kg;Mamedov Iaman;Uralsport;1960;105,05;250,0;2014.10.04-05;Gyula;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 2;Felhúzás;120+kg;Szolnoki Béla;Gyulai Atlasz SE;1969;123,90;292,5;2019.04.06-07;Székesfehérvár;II.o. Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 3;Összetett;-59kg;alaprekord;;;;420,0;2011.01.01;;
Férfi;EQ;Masters 3;Összetett;-66kg;alaprekord;;;;440,0;2011.01.01;;
Férfi;EQ;Masters 3;Összetett;-74kg;alaprekord;;;;460,0;2011.01.01;;
Férfi;EQ;Masters 3;Összetett;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;647,5;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 3;Összetett;-93kg;Dr. Újvári Ernő;Flex SE;1948;92,10;520,0;2012.12.08-09;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 3;Összetett;-105kg;Lovász György;Gyulai Atlasz SE;1947;104,23;670,0;2012.07.17-21;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 3;Összetett;-120kg;Standinger István;Flex SE;1950;109,95;585,0;2016.10.02-08;Tallin (EST);Masters Erőemelő Világbajnokság
Férfi;EQ;Masters 3;Összetett;120+kg;alaprekord;;;;550,0;2011.01.01;;
Férfi;EQ;Masters 3;Guggolás;-59kg;alaprekord;;;;130,0;2011.01.01;;
Férfi;EQ;Masters 3;Guggolás;-66kg;alaprekord;;;;140,0;2011.01.01;;
Férfi;EQ;Masters 3;Guggolás;-74kg;alaprekord;;;;150,0;2011.01.01;;
Férfi;EQ;Masters 3;Guggolás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;230,0;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 3;Guggolás;-93kg;Dr. Újvári Ernő;Flex SE;1948;92,10;200,0;2012.12.08-09;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 3;Guggolás;-105kg;Lovász György;Gyulai Atlasz SE;1947;104,23;250,0;2012.07.17-21;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 3;Guggolás;-120kg;Standinger István;Flex SE;1950;109,95;190,0;2016.10.02-08;Tallin (EST);Masters Erőemelő Világbajnokság
Férfi;EQ;Masters 3;Guggolás;120+kg;alaprekord;;;;200,0;2011.01.01;;
Férfi;EQ;Masters 3;Fekvenyomás;-59kg;alaprekord;;;;75,0;2011.01.01;;
Férfi;EQ;Masters 3;Fekvenyomás;-66kg;alaprekord;;;;85,0;2011.01.01;;
Férfi;EQ;Masters 3;Fekvenyomás;-74kg;Gerstmayer László;Bátor Fitt Erőemelő Klub;1950;70,60;110,0;2016.10.15;Budapest;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 3;Fekvenyomás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;140,0;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 3;Fekvenyomás;-93kg;Szarka Antal;BodyPower SE;1955;92,50;137,5;2021.11.06;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 3;Fekvenyomás;-105kg;Lovász György;Gyulai Atlasz SE;1947;104,23;170,0;2012.07.17-21;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 3;Fekvenyomás;-120kg;Standinger István;Flex SE;1950;109,95;165,0;2016.10.02-08;Tallin (EST);Masters Erőemelő Világbajnokság
Férfi;EQ;Masters 3;Fekvenyomás;120+kg;alaprekord;;;;145,0;2011.01.01;;
Férfi;EQ;Masters 3;Felhúzás;-59kg;alaprekord;;;;130,0;2011.01.01;;
Férfi;EQ;Masters 3;Felhúzás;-66kg;alaprekord;;;;140,0;2011.01.01;;
Férfi;EQ;Masters 3;Felhúzás;-74kg;alaprekord;;;;150,0;2011.01.01;;
Férfi;EQ;Masters 3;Felhúzás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,70;277,5;2011.07.05;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 3;Felhúzás;-93kg;Dr. Újvári Ernő;Flex SE;1948;92,10;200,0;2012.12.08-09;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 3;Felhúzás;-105kg;Lehotai Sándor;Delta TK;1959;100,90;251,0;2019.09.14-15;Sárbogárd;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 3;Felhúzás;-120kg;Standinger István;Flex SE;1950;109,81;230,0;2015.06.05-14;Salo (FIN);Masters RAW Erőemelő Világbajnokság
Férfi;EQ;Masters 3;Felhúzás;120+kg;alaprekord;;;;200,0;2011.01.01;;
Férfi;EQ;Masters 4;Összetett;-59kg;;;;;;;;
Férfi;EQ;Masters 4;Összetett;-66kg;;;;;;;;
Férfi;EQ;Masters 4;Összetett;-74kg;Varga László;MAFC;1945;69,95;245,0;2016.12.17;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Összetett;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,52;605,5;2015.07.14-18;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 4;Összetett;-93kg;Hagymási János;Flex SE;1941;92,20;340,0;2015.05.01-02;Tab;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Összetett;-105kg;Hagymási János;Fitness2000;1941;95,40;372,5;2013.09.14;Tab;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Összetett;-120kg;Standinger István;Flex SE;1950;109,81;480,0;2020.03.09-14;Albi (FRA);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 4;Összetett;120+kg;;;;;;;;
Férfi;EQ;Masters 4;Guggolás;-59kg;;;;;;;;
Férfi;EQ;Masters 4;Guggolás;-66kg;;;;;;;;
Férfi;EQ;Masters 4;Guggolás;-74kg;Varga László;MAFC;1945;69,95;75,0;2016.12.17;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Guggolás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,77;215,0;2016.10.02-08;Tallin (EST);Masters Erőemelő Világbajnokság
Férfi;EQ;Masters 4;Guggolás;-93kg;Hagymási János;Flex SE;1941;92,20;140,0;2015.05.01-02;Tab;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Guggolás;-105kg;Hagymási János;Fitness2000;1941;95,40;140,0;2013.09.14;Tab;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Guggolás;-120kg;Standinger István;Flex SE;1950;109,81;150,0;2020.03.09-14;Albi (FRA);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 4;Guggolás;120+kg;;;;;;;;
Férfi;EQ;Masters 4;Fekvenyomás;-59kg;;;;;;;;
Férfi;EQ;Masters 4;Fekvenyomás;-66kg;;;;;;;;
Férfi;EQ;Masters 4;Fekvenyomás;-74kg;Varga László;MAFC;1945;69,95;72,5;2016.12.17;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Fekvenyomás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,52;132,5;2015.07.14-18;Pilsen (CZE);Masters Erőemelő Európa Bajnokság
Férfi;EQ;Masters 4;Fekvenyomás;-93kg;Mészáros Csaba;MAFC;1944;91,10;85,0;2016.12.17;Budapest;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Fekvenyomás;-105kg;Hagymási János;Fitness2000;1941;95,40;60,0;2013.09.14;Tab;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Fekvenyomás;-120kg;Standinger István;Flex SE;1950;109,81;110,0;2020.03.09-14;Albi (FRA);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 4;Fekvenyomás;120+kg;;;;;;;;
Férfi;EQ;Masters 4;Felhúzás;-59kg;;;;;;;;
Férfi;EQ;Masters 4;Felhúzás;-66kg;;;;;;;;
Férfi;EQ;Masters 4;Felhúzás;-74kg;Varga László;MAFC;1945;69,05;97,5;2016.10.15;Budapest;Masters RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Felhúzás;-83kg;Fábri János;Gyulai Atlasz SE;1945;81,77;260,5;2016.10.02-08;Tallin (EST);Masters Erőemelő Világbajnokság
Férfi;EQ;Masters 4;Felhúzás;-93kg;Hagymási János;Fitness2000;1941;92,90;170,0;2012.12.08-09;Orosháza;Masters Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Felhúzás;-105kg;Hagymási János;Fitness2000;1941;95,40;172,5;2013.09.14;Tab;Masters Férfi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Masters 4;Felhúzás;-120kg;Standinger István;Flex SE;1950;109,81;220,0;2020.03.09-14;Albi (FRA);Masters RAW Erőemelő Európa Bajnokság
Férfi;EQ;Masters 4;Felhúzás;120+kg;;;;;;;;
Női;EQ;Open;Összetett;-47kg;Lehóczkyné Fawal Margit;Thor-PowerBuilder SE;1988;46,65;325,0;2017.06.03;Tab;Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Open;Összetett;-52kg;Petróczki Magdolna;Body Power;1968;51,43;427,5;2014.09.21-27;Pilsen (CZE);Masters Erőemelő Világbajnokság
Női;EQ;Open;Összetett;-57kg;Szántó Erika;RKA Erőművek SE;1977;56,70;450,0;2015.09.19;Orosháza;Erőemelő Magyar Bajnokság
Női;EQ;Open;Összetett;-63kg;Rozsnyai-Kovács Aletta;PowerBuilder SE;1999;62,66;462,5;2021.09.27;Halmstad (SWE);Junior Raw Erőemelő Világbajnokság
Női;EQ;Open;Összetett;-69kg;Sallai Eszter;PowerBuilder SE;2001;68,40;437,5;2021.05.29;Budapest;Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Open;Összetett;-76kg;alaprekord;;;;450,0;2021.04.11;;
Női;EQ;Open;Összetett;-84kg;Olajos Tünde;RKA Erőművek SE;1989;82,30;507,5;2018.05.06-12;Pilsen (CZE);Erőemelő Európa Bajnokság
Női;EQ;Open;Összetett;84+kg;Szabó Ágnes;Orosházi Toldi SE;1988;114,56;655,0;2017.05.08-14;Malaga (ESP);Erőemelő Európa Bajnokság
Női;EQ;Open;Guggolás;-47kg;Lehóczkyné Fawal Margit;Thor-PowerBuilder SE;1988;46,65;120,0;2017.06.03;Tab;Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Open;Guggolás;-52kg;Petróczki Magdolna;Body Power;1968;51,43;162,5;2014.09.21-27;Pilsen (CZE);Masters Erőemelő Világbajnokság
Női;EQ;Open;Guggolás;-57kg;Szántó Erika;RKA Erőművek SE;1977;56,70;180,0;2015.09.19;Orosháza;Erőemelő Magyar Bajnokság
Női;EQ;Open;Guggolás;-63kg;Dr. Kiss Anett;RKA Erőművek SE;1976;62,00;165,0;2019.11.02;Budapest;Erőemelő Magyar Bajnokság
Női;EQ;Open;Guggolás;-69kg;alaprekord;;;;165,0;2021.04.11;;
Női;EQ;Open;Guggolás;-76kg;alaprekord;;;;180,0;2021.04.11;;
Női;EQ;Open;Guggolás;-84kg;Olajos Tünde;RKA Erőművek SE;1989;82,30;207,5;2018.05.06-12;Pilsen (CZE);Erőemelő Európa Bajnokság
Női;EQ;Open;Guggolás;84+kg;Szabó Ágnes;Orosházi Toldi SE;1988;114,99;270,0;2018.05.06-12;Pilsen (CZE);Erőemelő Európa Bajnokság
Női;EQ;Open;Fekvenyomás;-47kg;alaprekord;;;;100,0;2011.01.01;;
Női;EQ;Open;Fekvenyomás;-52kg;alaprekord;;;;110,0;2011.01.01;;
Női;EQ;Open;Fekvenyomás;-57kg;alaprekord;;;;115,0;2011.01.01;;
Női;EQ;Open;Fekvenyomás;-63kg;alaprekord;;;;120,0;2011.01.01;;
Női;EQ;Open;Fekvenyomás;-69kg;alaprekord;;;;122,5;2021.04.11;;
Női;EQ;Open;Fekvenyomás;-76kg;alaprekord;;;;125,0;2021.04.11;;
Női;EQ;Open;Fekvenyomás;-84kg;Olajos Tünde;RKA Erőművek SE;1989;82,30;140,0;2018.05.06-12;Pilsen (CZE);Erőemelő Európa Bajnokság
Női;EQ;Open;Fekvenyomás;84+kg;Dr. Lombosi Melinda;RKA Erőművek SE;1978;124,90;200,0;2015.09.19;Orosháza;Erőemelő Magyar Bajnokság
Női;EQ;Open;Felhúzás;-47kg;Fehér Olívia;Sirius Lifting SE;1991;45,70;140,5;2021.05.29;Budapest;Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Open;Felhúzás;-52kg;Petróczki Magdolna;Body Power;1968;52,00;172,5;2014.10.04-05;Gyula;Erőemelő Magyar Bajnokság
Női;EQ;Open;Felhúzás;-57kg;Szántó Erika;RKA Erőművek SE;1977;56,70;177,5;2015.09.19;Orosháza;Erőemelő Magyar Bajnokság
Női;EQ;Open;Felhúzás;-63kg;Dr. Kiss Anett;RKA Erőművek SE;1976;62,00;185,0;2019.11.02.;Budapest;Erőemelő Magyar Bajnokság
Női;EQ;Open;Felhúzás;-69kg;Sallai Eszter;PowerBuilder SE;2001;68,40;180,0;2021.05.29;Budapest;Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Open;Felhúzás;-76kg;Tóth Enikő;Erőtér SE;1998;74,30;187,5;2021.05.29;Budapest;Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Open;Felhúzás;-84kg;Bak Szilvia;Fortius SE;1971;82,95;175,0;2021.07.07-13;Pilsen (CZE);Masters RAW Erőemelő Európa Bajnokság
Női;EQ;Open;Felhúzás;84+kg;Szabó Ágnes;Orosházi Toldi SE;1988;114,56;205,0;2017.05.08-14;Malaga (ESP);Erőemelő Európa Bajnokság
Női;EQ;Ifjúsági;Összetett;-43kg;alaprekord;;;;220,0;2011.01.01;;
Női;EQ;Ifjúsági;Összetett;-47kg;alaprekord;;;;250,0;2011.01.01;;
Női;EQ;Ifjúsági;Összetett;-52kg;alaprekord;;;;280,0;2011.01.01;;
Női;EQ;Ifjúsági;Összetett;-57kg;Erdelecz Evelin;Barcsi VSE;1997;56,80;302,5;2015.10.24;Győr;Ifi Junior Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Összetett;-63kg;alaprekord;;;;320,0;2011.01.01;;
Női;EQ;Ifjúsági;Összetett;-69kg;alaprekord;;;;350,0;2021.04.11;;
Női;EQ;Ifjúsági;Összetett;-76kg;alaprekord;;;;400,0;2021.04.11;;
Női;EQ;Ifjúsági;Összetett;-84kg;Cseh Zita;Orosházi Toldi SE;1995;73,05;427,5;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Összetett;84+kg;Vajda Fanni;RKA Erőművek SE;1997;106,66;467,5;2015.08.31-09.06;Prága (CZE);Ifi Junior Erőemelő Világbajnokság
Női;EQ;Ifjúsági;Guggolás;-43kg;alaprekord;;;;60,0;2011.01.01;;
Női;EQ;Ifjúsági;Guggolás;-47kg;alaprekord;;;;90,0;2011.01.01;;
Női;EQ;Ifjúsági;Guggolás;-52kg;alaprekord;;;;95,0;2011.01.01;;
Női;EQ;Ifjúsági;Guggolás;-57kg;Erdelecz Evelin;Barcsi VSE;1997;56,80;110,0;2015.10.24;Győr;Ifi Junior Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Guggolás;-63kg;Nagy Nikolett;Orosházi Toldi SE;1999;57,80;120,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Guggolás;-69kg;alaprekord;;;;135,0;2021.04.11;;
Női;EQ;Ifjúsági;Guggolás;-76kg;alaprekord;;;;150,0;2021.04.11;;
Női;EQ;Ifjúsági;Guggolás;-84kg;Cseh Zita;Orosházi Toldi SE;1995;73,05;170,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Guggolás;84+kg;Vajda Fanni;RKA Erőművek SE;1997;106,66;190,0;2015.08.31-09.06;Prága (CZE);Ifi Junior Erőemelő Világbajnokság
Női;EQ;Ifjúsági;Fekvenyomás;-43kg;alaprekord;;;;60,0;2011.01.01;;
Női;EQ;Ifjúsági;Fekvenyomás;-47kg;alaprekord;;;;65,0;2011.01.01;;
Női;EQ;Ifjúsági;Fekvenyomás;-52kg;alaprekord;;;;70,0;2011.01.01;;
Női;EQ;Ifjúsági;Fekvenyomás;-57kg;alaprekord;;;;75,0;2011.01.01;;
Női;EQ;Ifjúsági;Fekvenyomás;-63kg;alaprekord;;;;80,0;2011.01.01;;
Női;EQ;Ifjúsági;Fekvenyomás;-69kg;alaprekord;;;;82,5;2021.04.11;;
Női;EQ;Ifjúsági;Fekvenyomás;-76kg;alaprekord;;;;87,5;2021.04.11;;
Női;EQ;Ifjúsági;Fekvenyomás;-84kg;Cseh Zita;Orosházi Toldi SE;1995;73,05;105,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Fekvenyomás;84+kg;Vajda Fanni;RKA Erőművek SE;1997;109,80;120,5;2015.10.24;Győr;Ifi Junior Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Felhúzás;-43kg;alaprekord;;;;90,0;2011.01.01;;
Női;EQ;Ifjúsági;Felhúzás;-47kg;alaprekord;;;;95,0;2011.01.01;;
Női;EQ;Ifjúsági;Felhúzás;-52kg;alaprekord;;;;100,0;2011.01.01;;
Női;EQ;Ifjúsági;Felhúzás;-57kg;Erdelecz Evelin;Barcsi VSE;1997;56,80;122,5;2015.10.24;Győr;Ifi Junior Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Felhúzás;-63kg;Kirilla Szilvia;Familya SC;1993;61,95;152,5;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Felhúzás;-69kg;alaprekord;;;;140,0;2021.04.11;;
Női;EQ;Ifjúsági;Felhúzás;-76kg;alaprekord;;;;150,0;2021.04.11;;
Női;EQ;Ifjúsági;Felhúzás;-84kg;Haklik Dorottya;Orosházi Toldi SE;1996;81,50;162,5;2013.12.14-15;Budapest;Ifi Erőemelő Magyar Bajnokság
Női;EQ;Ifjúsági;Felhúzás;84+kg;Vajda Fanni;RKA Erőművek SE;1997;109,03;175,0;2015.09.26;Madrid (ESP);Arnold Classic Europe
Női;EQ;Junior;Összetett;-43kg;alaprekord;;;;250,0;2011.01.01;;
Női;EQ;Junior;Összetett;-47kg;alaprekord;;;;280,0;2011.01.01;;
Női;EQ;Junior;Összetett;-52kg;Csatlós Klaudia;RKA Erőművek SE;1990;50,85;330,0;2013.09.28;Győrszentiván;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Összetett;-57kg;alaprekord;;;;350,0;2011.01.01;;
Női;EQ;Junior;Összetett;-63kg;Rozsnyai-Kovács Aletta;PowerBuilder SE;1999;62,66;462,5;2021.09.27;Halmstad (SWE);Junior Raw Erőemelő Világbajnokság
Női;EQ;Junior;Összetett;-69kg;Sallai Eszter;PowerBuilder SE;2001;68,40;437,5;2021.05.29;Budapest;Junior Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Junior;Összetett;-76kg;Tóth Enikő;Erőtér SE;1998;74,30;423,0;2021.05.29;Budapest;Junior Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Junior;Összetett;-84kg;Cseh Zita;Orosházi Toldi SE;1995;73,05;427,5;2011.10.07-09;Budapest;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Összetett;84+kg;Köteles Mária;DEO Szeged;1990;142,90;570,0;2015.04.07-11;Orosháza;Ifi Junior Erőemelő Európa Bajnokság
Női;EQ;Junior;Guggolás;-43kg;Somogyi Edina;Attila Fitness SE;1991;42,90;85,0;2014.09.01-06;Orosháza;Ifi Junior Erőemelő Világbajnokság
Női;EQ;Junior;Guggolás;-47kg;Hajnal Petra;RKA Erőművek SE;1995;46,30;103,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Guggolás;-52kg;Csatlós Klaudia;RKA Erőművek SE;1990;50,85;122,5;2013.09.28;Győrszentiván;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Guggolás;-57kg;Kovács-Györkös Melánia;Orosházi Toldi SE;1998;54,85;135,5;2021.11.06;Orosháza;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Guggolás;-63kg;Rozsnyai-Kovács Aletta;Vasdisznó Erőemelő SE;1999;62,66;162,5;2021.09.27;Halmstad (SWE);Junior Raw Erőemelő Világbajnokság
Női;EQ;Junior;Guggolás;-69kg;Sallai Eszter;PowerBuilder SE;2001;68,40;160,0;2021.05.29;Budapest;Junior Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Junior;Guggolás;-76kg;alaprekord;;;;160,0;2021.04.11;;
Női;EQ;Junior;Guggolás;-84kg;Cseh Zita;Orosházi Toldi SE;1995;73,05;170,0;2011.10.07-09;Budapest;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Guggolás;84+kg;Köteles Mária;DEO Szeged;1992;138,30;220,0;2014.09.01-06;Orosháza;Ifi Junior Erőemelő Világbajnokság
Női;EQ;Junior;Fekvenyomás;-43kg;alaprekord;;;;80,0;2011.01.01;;
Női;EQ;Junior;Fekvenyomás;-47kg;alaprekord;;;;85,0;2011.01.01;;
Női;EQ;Junior;Fekvenyomás;-52kg;alaprekord;;;;90,0;2011.01.01;;
Női;EQ;Junior;Fekvenyomás;-57kg;alaprekord;;;;95,0;2011.01.01;;
Női;EQ;Junior;Fekvenyomás;-63kg;Rozsnyai-Kovács Aletta;Vasdisznó Erőemelő SE;1999;62,66;120,0;2021.09.27;Halmstad (SWE);Junior Raw Erőemelő Világbajnokság
Női;EQ;Junior;Fekvenyomás;-69kg;alaprekord;;;;100,0;2021.04.11;;
Női;EQ;Junior;Fekvenyomás;-76kg;alaprekord;;;;105,0;2021.04.11;;
Női;EQ;Junior;Fekvenyomás;-84kg;Olajos Tünde;RKA Erőművek SE;1989;77,70;115,0;2011.10.07-09;Budapest;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Fekvenyomás;84+kg;Szabó Ágnes;Orosházi Toldi SE;1988;102,74;182,5;2011.11.08-13;Pilsen (CZE);Junior Erőemelő Világbajnokság
Női;EQ;Junior;Felhúzás;-43kg;Somogyi Edina;Attila Fitness SE;1991;42,90;95,0;2014.09.01-06;Orosháza;Ifi Junior Erőemelő Világbajnokság
Női;EQ;Junior;Felhúzás;-47kg;Horváth Fanni;BEAC;1994;45,60;105,0;2017.04.30;Budapest;Junior Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Junior;Felhúzás;-52kg;Csatlós Klaudia;RKA Erőművek SE;1990;50,85;142,5;2013.09.28;Győrszentiván;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Felhúzás;-57kg;Bécsi Barbara;Marvel Team SE;2002;56,20;150,0;2021.05.29;Budapest;Junior Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Junior;Felhúzás;-63kg;Rozsnyai-Kovács Aletta;PowerBuilder SE;1999;62,66;180,0;2021.09.27;Halmstad (SWE);Junior Raw Erőemelő Világbajnokság
Női;EQ;Junior;Felhúzás;-69kg;Sallai Eszter;PowerBuilder SE;2001;68,40;180,0;2021.05.29;Budapest;Junior Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Junior;Felhúzás;-76kg;Tóth Enikő;Erőtér SE;1998;74,30;187,5;2021.05.29;Budapest;Junior Női RAW Erőemelő Magyar Bajnokság
Női;EQ;Junior;Felhúzás;-84kg;Haklik Dorottya;Orosházi Toldi SE;1996;81,50;162,5;2013.12.14-15;Budapest;Junior Erőemelő Magyar Bajnokság
Női;EQ;Junior;Felhúzás;84+kg;Köteles Mária;DEO Szeged;1992;144,01;200,0;2015.06.05-14;Salo (FIN);Junior RAW Erőemelő Világbajnokság
Női;EQ;Masters 1;Összetett;-47kg;alaprekord;;;;300,0;2011.01.01;;
Női;EQ;Masters 1;Összetett;-52kg;Petróczki Magdolna;Body Power;1968;51,43;427,5;2014.09.21-27;Pilsen (CZE);Masters Erőemelő Világbajnokság
Női;EQ;Masters 1;Összetett;-57kg;Petróczki Magdolna;Body Power;1968;53,85;410,0;2016.12.17;Budapest;Masters Erőemelő Magyar Bajnokság
Női;EQ;Masters 1;Összetett;-63kg;Dr. Kiss Anett;RKA Erőművek SE;1976;62,35;402,5;2017.10.14-15;Budapest;Masters Erőemelő Magyar Bajnokság
Női;EQ;Masters 1;Összetett;-69kg;alaprekord;;;;320,0;2021.04.11;;
Női;EQ;Masters 1;Összetett;-76kg;alaprekord;;;;350,0;2021.04.11;;
