Nem;Stílus;Csoport;Gyakorlat;Súlycsoport;Név;Egyesület;Születési év;Testsúly;Eredmény;Dátum;Helyszín;Verseny
Férfi;EQ;Ifjúsági;Összetett;-66kg;Somodi Vince;Jászladányi Egyetértés SE;1995;64,60;527,5;2012.12.08-09;Orosháza;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Összetett;-74kg;Rácz Dávid;Mérk Kinizsi SE;1996;73,75;640,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Összetett;-83kg;Kishonti Noel;Orosházi Toldi SE;1996;81,72;630,0;2013.04.09-13;Prága (CZE);Ifi Erőemelő Európa Bajnokság
Férfi;EQ;Ifjúsági;Összetett;-93kg;Susa Olivér;Vasdisznó SE;2004;93,00;702,0;2021.09.28;Halmstad (SWE);Ifi RAW Erőemelő Világbajnokság
Férfi;EQ;Ifjúsági;Összetett;-105kg;ifj. Szimcsina Mihály;KeletEreje Nyíregyháza;1999;101,80;660,5;2017.10.14-15;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Összetett;-120kg;Ungai Olivér;Hajdúszoboszlói BSE;1998;111,50;630,0;2015.04.07-11;Orosháza;Ifi Junior Erőemelő Európa Bajnokság
Férfi;EQ;Ifjúsági;Összetett;120+kg;Mikula Norbert;Bihari SE;1993;144,00;891,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Guggolás;-53kg;Terebesi Ákos;Ózdi Súlyemelő SE;2004;58,75;133,0;2017.11.25-26;Kisbér;Ifi RAW Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Guggolás;-59kg;Orosi Tamás;Mérk Kinizsi SE;1996;56,50;165,0;2014.09.01-06;Orosháza;Ifi Junior Erőemelő Világbajnokság
Férfi;EQ;Ifjúsági;Guggolás;-66kg;Somodi Vince;Jászladányi Egyetértés SE;1995;63,65;192,5;2013.12.14-15;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Guggolás;-74kg;Rácz Dávid;Mérk Kinizsi SE;1996;73,75;240,0;2014.10.04-05;Gyula;Ifi Junior Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Guggolás;-83kg;Szabó Árpád;JAK;1993;81,85;230,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Guggolás;-93kg;Susa Olivér;Vasdisznó SE;2004;93,00;250,0;2021.09.28;Halmstad (SWE);Ifi RAW Erőemelő Világbajnokság
Férfi;EQ;Ifjúsági;Guggolás;-105kg;Füzesi Marcell;Mérk Kinizsi SE;2003;96,50;221,0;2021.11.06;Orosháza;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Guggolás;-120kg;Kandrák Patrik;KeletEreje Nyíregyháza;1999;117,05;216,0;2017.10.14-15;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Guggolás;120+kg;Mikula Norbert;Bihari SE;1993;144,00;310,0;2011.10.07-09;Budapest;Ifi Erőemelő Magyar Bajnokság
Férfi;EQ;Ifjúsági;Fekvenyomás;-53kg;Orosi Tamás;Mérk Kinizsi SE;1996;51,00;105,0;2013.09.14;Győrszentiván;Ifi Erőemelő Magyar Bajnokság
